productName,variantName,productPrice,productImage,categoryID
Lemongrass / Serai (3pcs/bundle),,0.7,media/Site Files/Serai 0.7.jpeg,1
AUS Cabbage/AUS Purple Cabbage,AUS Cabbage,0,media/Site Files/Cabbage.jpg,6
AUS Cabbage/AUS Purple Cabbage,AUS Purple Cabbage,0,media/Site Files/kubis merah.jpg,6
Broccoli,Broccoli(7kg),60,media/Site Files/Broccoli-1.jpg,1
AUS Carrot(Farmgate/Ozzy/C3/Pack),AUS Carrot(Farmgate),48,media/Site Files/Carrot-1.jpg,1
AUS Carrot(Farmgate/Ozzy/C3/Pack),AUS Carrot(Ozzy),45,media/Site Files/Carrot-1.jpg,1
AUS Carrot(Farmgate/Ozzy/C3/Pack),AUS Carrot(C3),40,media/Site Files/Carrot-1.jpg,1
AUS Carrot(Farmgate/Ozzy/C3/Pack),AUS Carrot(Pack),95,media/Site Files/Carrot-1.jpg,1
Siew Pak Choy (200g/pack),,2.2,media/Site Files/Siew Pak Choy.jpg,6
Okra / Lady Finger (250g/pack),,3.6,media/Site Files/okra.jpg,4
Spring Onion (100g/pack),,1.1,media/Site Files/spring onion.jpg,6
White Garlic (CHN)/500g*10p,,32,media/Site Files/Unpeeled Garlic.jpg,3
Small Shallot(500g*10p),Small Shallot(500g*10p)(CHINA),15,media/Site Files/red onion.jpg,3
Small Shallot(500g*10p),Small Shallot(500g*10p)(THAILAND),43,media/Site Files/red onion.jpg,3
Enoki Mushroom (100g*50p),,32,media/Site Files/enoki-e1593061619596.jpg,5
Ubi Kayu / Cassava / Yuca Root (+/-1kg per pack),,4.55,media/Site Files/Ubi-Kayu.jpg,3
White Radish/Red Radish/Green Radish(10kg),White Radish(10kg),38,media/Site Files/radish.jpg,3
White Radish/Red Radish/Green Radish(10kg),Red Radish(10kg),45,media/Site Files/Red-radish-2.jpg,3
White Radish/Red Radish/Green Radish(10kg),Green Radish(10kg),0,media/Site Files/9680.png,3
Choy Sum / Baby Choy Sum,Choy Sum(Normal 5.5kg),60,media/Site Files/Cameron-Sawi.jpg,6
Choy Sum / Baby Choy Sum,Baby Choy Sum(Baby 4kg),40,media/Site Files/Hong-Kong-Sawi.jpg,6
