productName,variantName,productPrice,productImage,categoryID
Lemon,Lemon(CHN(75)),85,media/Site Files/0007137_yellow-lemon-nimbu-big-australia_600.jpeg,24
Lemon,Lemon(SA(113)),88,media/Site Files/0007137_yellow-lemon-nimbu-big-australia_600.jpeg,24
BANGLADESH/Potato/500g*10p,,13,media/Site Files/potato bangladesh.jpg,3
Big Shallot(IND)/500g*10p,,15,media/Site Files/RedOnions_2x.jpg,3
Dried Chilli(IND)/100g*10p,,18,media/Site Files/17480769.jpg,2
Sweet Corn(25packet*2pcs),,68,media/Site Files/sweet corn.jfif.jpg,2
Sweet Tamarind(1kg*10p),,135,media/Site Files/Swwt-tamarind-e1553651180248.jpg,2
Dried Seaweed(50g*30p),,65,media/Site Files/seaweeds.jpg,1
GroundNut(5kg),,50,media/Site Files/138071379-peanut-isolated-on-white-background-.jpg,4
Salt Plum,Salt Plum(168g*48),80,media/Site Files/salt plum.jpg,24
Salt Plum,Salt Plum(2kg*6),85,media/Site Files/salt plum.jpg,24
Sichuan Whole,Sichuan Whole(250g*50p),0,media/Site Files/sichuan.jpeg,7
Sichuan Whole,Sichuan Whole(38kg),0,media/Site Files/sichuan.jpeg,7
Garlic Pulp,,270,media/Site Files/garlic pulp.webp.png,3
Lotus Seed(100g*50p),,130,media/Site Files/Tangy_Lotus_Seeds_2x.jpg,4
Ginkgo Nut(80g*100p),,95,media/Site Files/ginkgo-nuts-1598941156-5570755.jpeg,4
Bamboo Shoot (10kg),,130,media/Site Files/bamboo shoot.jpg,1
Fresh Black Fungus(200g*25p),,65,media/Site Files/black fungus.jfif.jpg,1
Wax Gourd(1kg),,4,media/Site Files/wax-gourd-seeds-benincasa-hispida.jpg,2
Arrow Root (10kg),,0,media/Site Files/arrow root-910x1155.jpg,3
Yacon(7kg),,0,media/Site Files/yacon_jpg3.jpg,3
Baby Qing Bak(4kg),,50,media/Site Files/china-baby-qing-bak-200g-pack.jpg,1
Baby Dou Bak (4kg),,50,media/Site Files/Dou Bak.jpg,1
Burdock Root (10kg),,48,media/Site Files/RMLEG100BURDOCKROOT-100-g-Burdock-Root-Liquid-Extract-_91_Glycerine-Based_93_-L-20191108_ml.jpg,3
Huai Shan(10kg),Huai Shan(10kg)(Normal),70,media/Site Files/1626242873_huai shan (1).png,3
Huai Shan(10kg),Huai Shan(10kg)(Vacuum),60,media/Site Files/1626242873_huai shan (1).png,3
Mixed Mushroom(400g*20p),,95,media/Site Files/cultivated_mushroom_mix.jpg,5
Snow White Mushroom(150g*40p),,75,media/Site Files/SNOW-WHITE-MUSHROOM-150G-1-980x980.jpg,5
Sweet Pea(130g*30p),,53,media/Site Files/sweet-peas.jpg,4
Garlic Sprout (10kg),,0,media/Site Files/garlic sprout.jfif.jpg,6
Lettuce Shoot(10kg),,0,media/Site Files/shoot.jpg,6
Spinach(200g*20p),,60,media/Site Files/spinach (1).jpg,6
Mak Choy (300g*13p),,50,media/Site Files/yau-mak-choy-500g.jpg,6
Kale/Baby Kale/Stem Kale,Stem Kale(10kg),80,media/Site Files/Easy-Way-Remove-Kale-Stems.jpg,6
Kale/Baby Kale/Stem Kale,Kale(5.5kg),65,media/Site Files/kale.jpg,6
Kale/Baby Kale/Stem Kale,Baby Kale(4kg),60,media/Site Files/8454 (1).png,6
CHN Wong Bok/Baby Wong Bok,Baby Wong Bok(Small),25,media/Site Files/wong bok.jpg,6
CHN Wong Bok/Baby Wong Bok,CHN Wong Bok(Large),65,media/Site Files/wong bok.jpg,6
Purple Cabbage(10kg),,65,media/Site Files/kubis merah.jpg,6
CHINA Cabbage(20kg),,22,media/Site Files/B4433273-C975-4B4F-BF5B-95A69B2FE950_4_5005_c-e1593064273205.jpg,6
VIET Carrot,VIET Carrot(10kg),21,media/Site Files/carrot vietname.jpg,2
VIET Carrot,VIET Carrot(4.5kg),12,media/Site Files/carrot vietname.jpg,2
VIET Sweet Potato (Yellow/Purple) /10kg,VIET Sweet Potato/10kg(Yellow),65,media/Site Files/Sweet-Potato-Yellow.jpg,3
VIET Sweet Potato (Yellow/Purple) /10kg,VIET Sweet Potato/10kg(Purple),65,media/Site Files/Sweet-Potato-Purple-1.jpg,3
VIET Sweet Potato (Yellow/Purple) /5kg,VIET Sweet Potato/5kg(Yellow),38,media/Site Files/Sweet-Potato-Yellow.jpg,3
VIET Sweet Potato (Yellow/Purple) /5kg,VIET Sweet Potato/5kg(Purple),38,media/Site Files/Sweet-Potato-Purple-1.jpg,3
JAPAN Huai Shan (10kg),,290,media/Site Files/Fresh-Chinese-yam.jpg,3
USA Baby Carrot(250kg*40p),,180,media/Site Files/baby carrot.png,3
CHN Baby Pumpkin (2kg),,0,media/Site Files/baby pumpkin.jpg,2
AUS Purple Carrot(9kg/500g*15p),AUS Purple Carrot(9kg),80,media/Site Files/carrot puplr.png,3
AUS Purple Carrot(9kg/500g*15p),AUS Purple Carrot(500g*15p),,media/Site Files/carrot puplr.png,3
AUS Potato Nadine/Ruby Lou/Royal Blue/Chat Baby (15kg),AUS Potato Nadine (15kg),100,media/Site Files/nadine-potato.jpg,3
AUS Potato Nadine/Ruby Lou/Royal Blue/Chat Baby (15kg),AUS Potato Ruby Lou (15kg),100,media/Site Files/555_ruby-lou.jpg,3
AUS Potato Nadine/Ruby Lou/Royal Blue/Chat Baby (15kg),AUS Potato Royal Blue (15kg),100,media/Site Files/royal blue potato.jpg,3
AUS Potato Nadine/Ruby Lou/Royal Blue/Chat Baby (15kg),AUS Potato Chat Baby (15kg),100,media/Site Files/chat potato.jpg,3
Turkey Whole Raw,,0,media/Site Files/turkey1.jpg,8
Turkey Breast,,0,media/Site Files/20000005552-10.jpg,8
Sliced Turkey Toast,,0,media/Site Files/hennies-premium-turkey-toast-slice.jpg,8
Turkey Bacon,,0,media/Site Files/paleo-nutrition-wales-outdoor-reared-thick-cut-back-bacon-800x600.jpg,8
Duck Breast Raw Meat,,0,media/Site Files/11-barbary-duck-breast-170-230gr-pack-of-2-400x400.jpg,9
Smoked Duck,,0,media/Site Files/6qDsWTityZEvsWLYNpreaTlIt5GlvWm2p2c4ShmH.jpeg,9
Whole Duck,,0,media/Site Files/Duck-Whole-1.jpg,9
Quail,,0,media/Site Files/frozen-france-quail-2pcs.jpg,10
Ostrich Steak/Meat,,0,media/Site Files/Ostrich Steak.jpg,11
Venicon Meat,,0,media/Site Files/venicon.jpg,12
Minced Chicken (2kg),,29.4,media/Site Files/Fresh-minced-chicken.jpg,13
Fresh Chicken Skin (800g-1kg) [Halal],,6.5,media/Site Files/Fresh-chicken-skin.jpg,13
Fresh Chicken Gizzard (800g-1kg) [Halal],,7.8,media/Site Files/Fresh-chicken-gizzard.jpg,13
Old Hen (1 bird) [Halal],,10.4,media/Site Files/Old-Hen.jpg,13
Fresh Chicken Neck (800g-1kg) [Halal],,4.75,media/Site Files/Fresh-chicken-neck.jpg,13
Fresh Chicken Feet (800g-1kg) [Halal],,8.9,media/Site Files/Fresh-chicken-feet.jpg,13
Fresh Chicken Liver (800g-1kg) [Halal],,3.9,media/Site Files/Fresh-chicken-liver.jpg,13
Fresh Chicken Quarter (800g-1kg) [Halal],,15.6,media/Site Files/Fresh-chicken-mc-wholeleg.jpg,13
Fresh Chicken Drumstick (800g-1kg) [Halal],,16.4,media/Site Files/Fresh-chicken-drumstick.jpg,13
Fresh Chicken Wing (800g-1kg) [Halal],,16.2,media/Site Files/Fresh-chicken-wing.jpg,13
Fresh Chicken Thigh (800g-1kg) [Halal],,12,media/Site Files/Fresh-chicken-thigh.jpg,13
Fresh Chicken Chop +/-2kg [Halal],,36.8,media/Site Files/Fresh-chicken-chop.jpg,13
Fresh Kampung Chicken (1.5-1.8kg) [Halal],,39,media/Site Files/Fresh-kampung-chicken-jantan.jpg,13
Fresh Chicken Fillet (800g-1kg) [Halal],,15.3,media/Site Files/Chicken-Fillet-Halal.jpg,13
Fresh Chicken Whole Leg (800g-1kg) [Halal],,15,media/Site Files/Whole-Chicken-No-Head-Feet.jpg,13
Whole Chicken – No Head and Feet (1.5-1.7kg) [Halal],,18.1,media/Site Files/Whole-Chicken-No-Head-Feet.jpg,13
Fresh Chicken Carcass (800g-1kg) [Halal],,3,media/Site Files/Fresh-chicken-carcass.jpg,13
Fresh Chicken Breastmeat (800g-1kg) [Halal],,13.4,media/Site Files/Fresh-chicken-breastmeat.jpg,13
Australian Lamb Leg Boneless,,0,media/Site Files/compass_fresh_compass_fresh_-_denpasar_lamb_leg_boneless_aus_-500_gr-_full02_pkd5l9vd.jpg,14
Fresh Lamb Shanks,,0,media/Site Files/istockphoto-857252480-612x612.jpg,14
Lamb Chops,,0,media/Site Files/273408011_0_640x640.jpg,14
Lamb Rack Frenched,,0,media/Site Files/Lamb_rack_frenched_NZ_300x300.jpg,14
Frozen Leg Australian,,0,media/Site Files/Frozen Leg Australian.jpg,14
Mutton Cube,,0,media/Site Files/mutton cube.jfif.jpg,14
Lamb Leg Boneless,,0,media/Site Files/lamb-leg-boneless-12-15kg.jpg,14
Mutton Truck 28kg,,0,media/Site Files/Mutton Trunk.webp.png,14
Lamb/Mutton Carcass,,0,media/Site Files/Mutton Full.png,14
Lamb Shoulder,,0,media/Site Files/lamb shoulder.jpeg,14
Shortibs NZ Cut,,0,media/Site Files/image.jfif.jpg,15
Beef lungs,,0,media/Site Files/234c1819-ec11-4273-b249-1047aeaa3197.jpg.webp.png,15
Mince Beef,,0,media/Site Files/beef-mince.jpg,15
Ox Tail Cut,,0,media/Site Files/unnamed.jpg,15
Shank Indian 20kg,,0,media/Site Files/beef-shanks-2.jpg,15
Cooked Tripe 5kg,,0,media/Site Files/Beef-Tripe-Not-Cleaned-1Kg.jpg,15
Beef Topside (800g-1kg) [HALAL],,24,media/Site Files/Beef-Topside-1.jpg,15
